episode,Reward,step_count,goal_log
0,525.6554790365626,0,1
1,501.6200932825581,0,2
2,-46.65017580895557,0,2
3,-35.32460809598796,0,2
4,-30.29310337042002,0,2
5,-47.47691836975686,0,2
6,-18.760781564174795,0,2
7,-31.572988084669603,0,2
8,515.5487076533961,0,3
9,512.5280053464138,0,4
10,511.84124472042,0,5
11,502.9838991893779,0,6
12,-47.981235536775785,0,6
13,-36.62003161040378,0,6
14,-35.40416253939462,0,6
15,-18.663828999213948,0,6
16,-30.136878679055414,0,6
17,-18.445065324127924,0,6
18,-16.688502979547955,0,6
19,-13.041496620578712,0,6
20,514.7500181461949,0,7
21,-44.36420940965136,0,7
22,-83.74909956353906,0,7
23,-24.252805841935043,0,7
24,-61.11066629917488,0,7
25,-17.737637251623777,0,7
26,-81.23112130719582,0,7
27,-18.70117245184065,0,7
28,-59.9338364930156,0,7
29,-19.738273044427554,0,7
30,34.52528663709755,0,7
31,-68.44848528919786,0,7
32,-40.23713139884005,0,7
33,-18.409885262452846,0,7
34,517.2343022601611,0,8
35,-41.31251535528942,0,8
36,-28.726862349376976,0,8
37,-46.61077715138789,0,8
38,-49.58746746877469,0,8
39,511.1394098133899,0,9
40,-52.694180455912885,0,9
41,-18.673112375280688,0,9
42,-36.69839768606863,0,9
43,-41.71733521558927,0,9
44,36.16319475592684,0,9
45,-86.89520790455919,0,9
46,-66.59570461801354,0,9
47,-59.957686602221614,0,9
48,-27.705278894854157,0,9
49,26.61074524272912,0,9
50,-54.109566765111225,0,9
51,-18.520539593459922,0,9
52,-28.561315237804923,0,9
53,-81.39774629892634,0,9
54,-18.470871565821415,0,9
55,-16.562999869624488,0,9
56,-57.446656631313886,0,9
57,-51.255753125664434,0,9
58,-85.26560370800009,0,9
59,-25.8606140723747,0,9
60,-52.004164548439554,0,9
61,-46.72415972829767,0,9
62,-39.59647864965305,0,9
63,-147.22777629236927,0,9
64,-84.20449812785216,0,9
65,-67.48680583560989,0,9
66,-40.25316357623997,0,9
67,-114.67553719914201,0,9
68,-63.66250634828816,0,9
69,510.5480397716061,0,10
70,508.94577353810485,0,11
71,-22.01584893426946,0,11
72,-83.4709701857469,0,11
73,-46.35027849264463,0,11
74,-86.50157707153465,0,11
75,-83.25072235751227,0,11
76,-40.05487742905517,0,11
77,-51.08745520614214,0,11
78,-62.25980134986753,0,11
79,-76.16309936537453,0,11
80,18.843264331276348,0,11
81,-41.87938791779669,0,11
82,-13.50574796130897,0,11
83,-62.25680121217788,0,11
84,-51.633538605323764,0,11
85,-81.16010160609659,0,11
86,-15.004990485138576,0,11
87,515.0249440642054,0,12
88,-61.00641785067842,0,12
89,-23.37381907808512,0,12
90,-23.706176485578098,0,12
91,-53.909486101273984,0,12
92,-75.38274634276046,0,12
93,-23.802151377777438,0,12
94,25.542070408271712,0,12
95,-63.94802510393694,0,12
96,503.9959346809428,0,13
97,-12.917590138009626,0,13
98,-91.28367824386883,0,13
99,525.6322323687102,0,14
100,-28.305488070239374,0,14
101,499.6958606282633,0,15
102,-73.20800147958856,0,15
103,506.5929671169047,0,16
104,-57.81211750256837,0,16
105,-103.67383441584306,0,16
106,-64.28624359155927,0,16
107,-23.700443793776458,0,16
108,515.8203765976591,0,17
109,490.6692245548982,0,18
110,-43.67118499604021,0,18
111,-23.691277601796084,0,18
112,518.2805751263346,0,19
113,-27.09968878789688,0,19
114,-99.55641596738798,0,19
115,-57.0501532711085,0,19
116,507.10398041971433,0,20
117,-48.058252549776746,0,20
118,-111.51881527845231,0,20
119,-42.02101629028706,0,20
120,-16.592607428246502,0,20
121,-72.12459936731105,0,20
122,-37.120273881033384,0,20
123,-69.32469058196551,0,20
124,-32.09906925219749,0,20
125,-46.135221067990244,0,20
126,-72.25114254482688,0,20
127,-26.22140480786751,0,20
128,-44.6498194525913,0,20
129,-41.26548864944795,0,20
130,-29.264235132623888,0,20
131,-26.00299565581892,0,20
132,526.9065942801055,0,21
133,-23.097993602549742,0,21
134,-60.2142239322266,0,21
135,-51.170187262172455,0,21
136,496.8901218610527,0,22
137,-18.109883806573635,0,22
138,-48.0720501074713,0,22
139,-26.124277945674315,0,22
140,-112.3220391446377,0,22
141,512.4410660930305,0,23
142,0.5360571330114254,0,23
143,501.98958825489785,0,24
144,512.5553254437757,0,25
145,509.64346908405065,0,26
146,517.9150389958937,0,27
147,-23.975911850111725,0,27
148,-26.018257048884625,0,27
149,-127.83645776284011,0,27
150,-79.04838579481961,0,27
151,-70.50750527722025,0,27
152,510.36727205282693,0,28
153,-130.1995209052279,0,28
154,500.5983596223212,0,29
155,-49.49859179963859,0,29
156,-68.7413220337438,0,29
157,-47.170474312087194,0,29
158,-59.29605570492555,0,29
159,-83.82949296849799,0,29
160,-43.43205421802947,0,29
161,501.810234725079,0,30
162,508.0653241781226,0,31
163,-67.25024856940254,0,31
164,0.7211256394720813,0,31
165,-27.748039512613673,0,31
166,19.691182669991584,0,31
