episode,Reward,step_count,goal_log,goal_percentage_log
0,4.066458844291587,27,0,0.0
1,-21.03262815475955,16,0,0.0
2,642.2337890947816,37,1,0.0
3,155.66009796632557,37,1,0.0
4,1.3640447080157792,135,1,0.0
5,-28.687786490325934,28,1,0.0
6,20.716922819166832,181,1,0.0
7,-55.57999075979478,24,1,0.0
8,-71.22134319363464,38,1,0.0
9,-75.45665491085867,68,1,0.0
10,-59.474130803626934,43,1,0.0
11,-5.327187566955141,15,1,0.0
12,-5.46431368204688,73,1,0.0
13,-151.07061949303665,168,1,0.0
14,-86.91280257578,66,1,0.0
15,281.3993896499257,129,1,0.0
16,-37.84726965136183,31,1,0.0
17,23.807423301537973,105,1,0.0
18,-38.992949674798275,82,1,0.0
19,327.0468215612332,202,1,0.0
20,11.087228893950059,107,1,0.0
21,-57.26470400780988,66,1,0.0
22,522.9005725209613,148,1,0.0
23,-39.70909190431854,66,1,0.0
24,169.7389279846839,105,1,0.0
25,32.11496101810706,202,1,0.0
26,-80.45553172967482,48,1,0.0
27,-77.01533099573768,51,1,0.0
28,-1.156967924600993,18,1,0.0
29,-13.184128298131325,36,1,0.0
30,-132.322151682096,81,1,0.0
31,2.5039000803406353,49,1,0.0
32,17.51270023120591,202,1,0.0
33,22.542558007706386,51,1,0.0
34,-46.472683935464424,30,1,0.0
35,-20.532222477916388,13,1,0.0
36,5.650523437386749,47,1,0.0
37,-11.518450148938074,110,1,0.0
38,-59.420439970720665,106,1,0.0
39,82.76612588634877,202,1,0.0
40,178.5964590908482,202,1,0.0
41,-6.320389468194472,40,1,0.0
42,-86.66549342263565,60,1,0.0
43,-33.849536130798406,40,1,0.0
44,33.88690727751443,89,1,0.0
45,-2.368467134528899,26,1,0.0
46,30.51454634228844,37,1,0.0
47,-24.96721117716822,51,1,0.0
48,237.20646196994,120,1,0.0
49,41.847593015760786,202,1,0.0
50,300.34910871683206,179,1,0.0
51,-22.882125894324183,16,1,0.0
52,-121.44157845798733,61,1,0.0
53,-191.0344464242691,99,1,0.0
54,-148.51908746809497,147,1,0.0
55,-32.39816027979144,61,1,0.0
56,42.50625317617734,72,1,0.0
57,-5.629856056939392,15,1,0.0
58,-8.716841362370051,7,1,0.0
59,-6.713836847133161,6,1,0.0
60,-3.7131832870735284,13,1,0.0
61,545.0988975162467,14,2,0.1
62,-10.567141122616382,7,2,0.1
63,7.190976863944758,12,2,0.1
64,-4.358786130815915,10,2,0.1
65,-5.862302576466798,7,2,0.1
66,-6.17815367325872,6,2,0.1
67,83.62976152164592,23,2,0.1
68,-8.52744859606374,9,2,0.1
69,531.0066725168329,10,3,0.2
70,6.929283145699941,15,3,0.2
71,-17.09714343004502,10,3,0.1
72,-16.899724192829115,10,3,0.1
73,-6.55653069506399,8,3,0.1
74,23.049990296953254,12,3,0.1
