episode,Reward,step_count,goal_log,goal_percentage_log
0,-21.882006681121403,51,0,0.0
1,21.67252324237108,49,0,0.0
2,55.13116601524779,50,0,0.0
3,-37.617572058407,86,0,0.0
4,8.787072750384905,34,0,0.0
5,34.56395298995135,75,0,0.0
6,-12.472093415353719,4,0,0.0
7,-37.2449458569501,36,0,0.0
8,187.7768801695504,169,0,0.0
9,151.60829229315243,138,0,0.0
10,20.356504735511937,51,0,0.0
11,41.06139773653685,122,0,0.0
12,170.8512685621771,112,0,0.0
13,4.7687716850862,26,0,0.0
14,18.292159192967606,60,0,0.0
15,288.2970453310677,202,0,0.0
16,35.47310137032744,104,0,0.0
17,129.55198590636644,54,0,0.0
18,66.96848112246138,62,0,0.0
19,-11.138668152545002,83,0,0.0
20,-1.7079026785817053,30,0,0.0
21,108.35357218168056,93,0,0.0
22,39.10311520582884,119,0,0.0
23,54.1294620786058,40,0,0.0
24,-36.37699384208952,60,0,0.0
25,48.00732592017418,41,0,0.0
26,-56.30396994067617,91,0,0.0
27,0.038044373590023994,70,0,0.0
28,457.2182019125645,202,0,0.0
29,531.9340670210811,200,0,0.0
30,46.833737899993594,31,0,0.0
31,-106.1255071186935,68,0,0.0
32,628.5140439612936,39,1,0.1
33,-53.84879423675448,153,1,0.1
34,410.12373109836636,185,1,0.1
35,-60.6912662730719,87,1,0.1
36,89.15527125731191,64,1,0.1
37,26.733741080269198,59,1,0.1
38,-132.9409410729605,124,1,0.1
39,295.2905879262906,112,1,0.1
40,182.66182833935193,126,1,0.1
41,-72.1040985217839,161,1,0.1
42,-88.604721988197,119,1,0.0
43,-31.990105590106104,68,1,0.0
44,-5.692200926352399,66,1,0.0
45,75.29985728810951,49,1,0.0
46,114.44304170221382,176,1,0.0
47,292.6531444131978,108,1,0.0
48,14.443566897258895,55,1,0.0
49,175.44741325202781,52,1,0.0
50,90.7795422760408,51,1,0.0
51,-39.393916001851835,68,1,0.0
52,-33.154288271384836,51,1,0.0
53,242.06611767338023,142,1,0.0
54,187.13452130439688,72,1,0.0
55,393.78761816457126,156,1,0.0
56,-13.92736118604305,33,1,0.0
57,450.27743778378317,127,1,0.0
58,241.0930431848841,84,1,0.0
59,-15.952102751157668,40,1,0.0
60,144.49599910074673,79,1,0.0
61,136.21833430343452,98,1,0.0
62,46.4418955395387,52,1,0.0
63,-64.97483134686689,82,1,0.0
64,278.26382982672095,122,1,0.0
65,192.02373027853469,124,1,0.0
66,183.9816529505331,122,1,0.0
67,15.874017390259429,93,1,0.0
68,8.459357457378832,42,1,0.0
69,8.246591199505254,22,1,0.0
70,-30.561295936356707,28,1,0.0
71,387.3714976161027,148,1,0.0
72,51.48972756474424,106,1,0.0
73,174.5390551297569,101,1,0.0
74,-33.49922059507296,43,1,0.0
